participant,fold_p,language_a,language_b,language_c,age,gender,ethnic,occupation,education_a,education_b,dwelling,citizen,residence_length,annoyance_freq,quality,wnss,pss,who,panas_pos,panas_neg
ARAUS_00561,1,1,1,1,42,0,1,2,9,-1,4,0,1,2,2,35,14,15,32,15
ARAUS_00562,2,1,1,0,40,1,1,2,6,-1,3,1,1,2,9,24,10,22,44,14
ARAUS_00563,3,1,1,0,35,1,1,2,8,-1,4,1,1,8,1,32,13,15,35,17
ARAUS_00564,4,1,1,0,32,0,1,2,9,-1,1,1,1,7,5,43,14,18,39,21
ARAUS_00565,5,1,1,1,33,1,1,2,7,-1,1,1,1,8,9,35,15,14,36,24
ARAUS_00566,1,1,1,1,53,1,1,3,7,-1,4,1,1,6,4,41,9,17,38,12
ARAUS_00567,2,1,0,0,21,1,1,1,5,7,2,0,0,4,5,26,16,14,34,30
ARAUS_00568,3,0,-1,-1,31,1,1,2,7,-1,3,1,1,5,6,35,16,13,26,20
ARAUS_00569,4,1,1,0,25,1,1,2,7,-1,1,1,1,7,2,40,17,14,33,21
ARAUS_00570,5,0,-1,-1,25,0,1,2,6,-1,1,1,1,6,4,32,17,15,28,31
ARAUS_00571,1,1,1,0,21,1,1,1,5,7,1,1,1,5,5,32,24,9,18,25
ARAUS_00572,2,1,1,0,20,1,3,1,5,7,2,0,0,8,8,38,36,9,35,41
ARAUS_00573,3,1,0,0,67,1,1,3,5,-1,3,1,1,3,7,29,17,20,30,21
ARAUS_00574,4,1,1,1,32,0,1,2,7,-1,1,1,1,9,7,41,23,11,31,26
ARAUS_00575,5,1,1,0,30,0,1,1,8,9,4,1,1,5,5,32,22,9,23,32
ARAUS_00576,1,1,0,0,21,0,1,1,4,6,1,1,1,7,1,34,11,18,40,25
ARAUS_00577,2,1,0,0,35,0,3,2,9,-1,4,0,0,7,7,41,16,19,45,16
ARAUS_00578,3,1,1,1,35,0,1,2,7,-1,3,1,1,10,0,44,12,17,46,19
ARAUS_00579,4,1,1,0,33,1,1,2,7,-1,3,1,1,9,3,36,21,18,37,15
ARAUS_00580,5,1,1,0,25,1,1,2,7,-1,1,1,1,6,3,38,25,12,32,26
ARAUS_00581,1,1,1,1,22,1,3,1,5,7,4,1,1,0,8,15,21,16,34,25
ARAUS_00582,2,1,1,0,24,1,3,1,7,9,1,1,1,4,7,36,18,18,37,22
ARAUS_00583,3,0,-1,-1,22,0,1,1,5,7,1,1,1,6,6,39,25,12,26,31
ARAUS_00584,4,1,1,0,41,0,1,1,4,6,3,1,1,10,10,42,24,25,50,50
ARAUS_00585,5,1,1,0,32,0,1,2,9,-1,1,1,1,6,7,40,21,10,16,29
ARAUS_00586,1,1,1,1,24,0,1,1,5,7,4,1,1,10,2,40,17,19,41,25
ARAUS_00587,2,0,-1,-1,33,0,1,2,8,-1,1,1,1,8,7,43,21,13,30,18
ARAUS_00588,3,1,1,0,23,1,1,1,5,7,1,1,1,6,4,37,27,10,26,25
ARAUS_00589,4,1,1,0,29,1,1,2,7,-1,4,1,1,5,3,21,15,19,37,19
ARAUS_00590,5,1,1,0,24,1,1,2,7,-1,4,1,1,7,7,34,28,11,36,31
ARAUS_00591,1,1,1,0,29,0,1,2,7,-1,1,1,1,7,6,31,16,13,27,22
ARAUS_00592,2,1,1,0,24,1,1,2,7,-1,1,1,1,7,6,40,15,17,35,20
ARAUS_00593,3,0,-1,-1,22,0,1,1,4,6,1,1,1,4,7,33,19,18,23,12
ARAUS_00594,4,1,1,0,63,1,1,4,3,-1,1,1,1,6,7,25,13,23,38,12
ARAUS_00595,5,1,0,0,25,1,1,1,7,8,2,0,0,2,6,43,18,12,33,18
ARAUS_00596,1,1,0,0,21,0,1,1,5,7,2,0,0,4,7,31,17,8,23,17
ARAUS_00597,2,1,1,0,22,0,1,1,5,7,1,1,1,8,4,37,22,16,34,27
ARAUS_00598,3,1,1,0,30,1,3,2,9,-1,1,0,0,9,7,32,11,20,44,13
ARAUS_00599,4,1,0,0,18,0,1,1,5,7,2,0,0,3,8,26,28,4,25,41
ARAUS_00600,5,1,1,0,52,0,1,2,7,-1,1,1,1,6,5,45,14,17,28,11
ARAUS_10001,0,1,1,0,32,1,1,2,7,-1,4,1,1,3,7,21,14,8,19,15
ARAUS_10002,0,0,-1,-1,21,1,1,1,6,7,1,1,1,8,6,43,28,14,33,30
ARAUS_10003,0,1,1,0,20,0,1,1,6,7,2,1,1,7,2,35,33,12,25,29
ARAUS_10004,0,1,1,0,18,1,0,1,5,7,2,0,0,6,5,39,25,9,32,28
ARAUS_10005,0,1,0,0,21,1,0,1,6,7,1,0,0,6,7,30,18,15,32,16
